categories,description,dimensions,name,price,sku,stock,tags,weight
butterfly,"Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest.",3 x 3 x 3 cm,Butterfree,162.00,9507,242,"butterfly, butterfree, compound eyes",70.5 kg
cocoon,"Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch.",2 x 2 x 2 cm,Kakuna,148.00,1049,260,"cocoon, kakuna, shed skin",22 kg
hairy bug,Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).,1 x 1 x 1 cm,Weedle,25.00,7525,65,"hairy bug, shield dust, weedle",7.1 kg
worm,"Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor.",1 x 1 x 1 cm,Caterpie,73.00,7492,40,"caterpie, shield dust, worm",6.4 kg
tiny bird,"Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.",1 x 1 x 1 cm,Pidgey,159.00,9452,175,"keen eye, pidgey, tiny bird",4 kg
poison bee,"Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered, they will attack in a furious swarm.",3 x 3 x 3 cm,Beedrill,168.00,6542,125,"beedrill, poison bee, swarm",65 kg
cocoon,The shell covering this Pokémon’s body is as hard as an iron slab. Metapod does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.,2 x 2 x 2 cm,Metapod,148.00,2072,285,"cocoon, metapod, shed skin",21.8 kg
shellfish,Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.,5 x 5 x 5 cm,Blastoise,76.00,5212,88,"blastoise, shellfish, torrent",188.5 kg
turtle,"Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon’s toughness as a battler.",3 x 3 x 3 cm,Wartortle,123.00,9659,24,"torrent, turtle, wartortle",49.6 kg
tiny turtle,"Squirtle’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds.",1 x 1 x 1 cm,Squirtle,130.00,6094,178,"squirtle, tiny turtle, torrent",19.8 kg
flame,"Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.",5 x 5 x 5 cm,Charizard,156.00,8840,31,"blaze, charizard, flame",199.5 kg
flame,"Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.",3 x 3 x 3 cm,Charmeleon,165.00,6565,284,"blaze, charmeleon, flame",41.9 kg
lizard,"The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely.",2 x 2 x 2 cm,Charmander,48.00,9086,206,"blaze, charmander, lizard",18.7 kg
